User_ID,Subscription_Tier,Num_Logins,Num_Searches,Num_Card_Views,Num_API_Calls,Num_Exports,Num_Emails_Sent,Churned
USER_00000,Pro,8,27,53,108,3,2,0
USER_00001,Enterprise,19,69,148,2493,12,27,0
USER_00002,Enterprise,13,71,146,2401,12,29,0
USER_00003,Pro,11,13,53,85,0,1,1
USER_00004,Pro,8,30,0,86,5,10,0
USER_00005,Pro,8,18,58,98,2,5,0
USER_00006,Pro,10,33,59,104,0,7,0
USER_00007,Enterprise,24,50,147,2494,6,32,0
USER_00008,Pro,8,23,52,93,2,2,0
USER_00009,Enterprise,21,70,158,2415,9,22,0
USER_00010,Pro,17,27,47,104,2,2,0
USER_00011,Enterprise,26,61,163,2468,10,24,0
USER_00012,Enterprise,19,54,174,2519,18,22,0
USER_00013,Pro,7,17,57,100,1,5,0
USER_00014,Pro,8,29,55,115,1,8,0
USER_00015,Pro,9,24,56,102,1,7,0
USER_00016,Pro,4,28,39,105,1,5,1
USER_00017,Pro,10,0,0,100,1,5,0
USER_00018,Pro,0,23,46,98,1,7,0
USER_00019,Pro,4,32,43,117,2,8,0
USER_00020,Pro,5,16,64,88,3,2,0
USER_00021,Pro,9,30,50,90,1,5,0
USER_00022,Pro,8,21,44,89,4,1,0
USER_00023,Pro,9,20,53,99,3,4,1
USER_00024,Pro,0,20,54,100,2,6,0
USER_00025,Enterprise,23,72,152,2478,13,21,0
USER_00026,Pro,0,25,64,0,2,2,1
USER_00027,Pro,5,17,49,86,1,4,0
USER_00028,Pro,7,32,61,107,2,4,0
USER_00029,Pro,8,22,50,106,2,2,0
USER_00030,Pro,6,21,44,92,0,2,0
USER_00031,Pro,9,39,0,88,5,6,0
USER_00032,Pro,10,18,43,104,3,7,0
USER_00033,Enterprise,12,56,154,2382,10,23,0
USER_00034,Enterprise,17,64,148,2497,7,24,0
USER_00035,Enterprise,17,45,140,2478,7,41,0
USER_00036,Pro,12,26,51,98,2,5,0
USER_00037,Pro,17,28,56,97,3,6,0
USER_00038,Pro,7,19,37,103,3,11,0
USER_00039,Pro,6,16,50,73,3,2,1
USER_00040,Pro,5,21,57,95,4,5,0
USER_00041,Pro,7,27,35,104,0,5,1
USER_00042,Pro,8,23,47,0,1,5,0
USER_00043,Enterprise,24,49,157,2496,10,24,0
USER_00044,Pro,4,28,58,95,1,3,0
USER_00045,Pro,6,27,0,92,1,7,0
USER_00046,Pro,12,19,0,99,2,0,0
USER_00047,Pro,4,19,60,110,3,5,0
USER_00048,Pro,4,35,59,75,0,7,0
USER_00049,Pro,8,15,46,86,2,6,0
USER_00050,Enterprise,16,74,154,2493,10,34,0
USER_00051,Enterprise,23,54,123,2499,12,28,0
USER_00052,Enterprise,23,52,144,2551,7,33,0
USER_00053,Enterprise,21,50,141,2480,11,25,0
USER_00054,Pro,5,25,43,110,3,3,0
USER_00055,Enterprise,19,52,151,2579,8,28,1
USER_00056,Pro,9,19,51,105,2,6,0
USER_00057,Pro,6,28,0,109,3,5,0
USER_00058,Pro,10,33,43,111,2,8,0
USER_00059,Pro,7,19,43,85,3,4,0
USER_00060,Pro,10,24,39,98,0,10,0
USER_00061,Pro,8,41,49,95,0,4,0
USER_00062,Enterprise,19,63,142,2422,9,18,0
USER_00063,Pro,4,27,37,97,4,1,0
USER_00064,Pro,6,23,43,73,0,5,0
USER_00065,Pro,16,23,62,103,0,7,0
USER_00066,Pro,15,21,45,0,2,3,0
USER_00067,Enterprise,17,65,154,2488,10,38,0
USER_00068,Pro,10,25,41,0,1,1,0
USER_00069,Enterprise,15,57,165,2531,0,29,0
USER_00070,Enterprise,21,61,146,2636,7,29,0
USER_00071,Pro,8,23,54,99,4,0,0
USER_00072,Pro,5,22,48,104,2,7,0
USER_00073,Enterprise,23,54,155,2456,11,23,0
USER_00074,Enterprise,16,41,137,2618,10,33,0
USER_00075,Enterprise,13,65,187,2453,3,28,0
USER_00076,Enterprise,17,63,126,2414,10,29,0
USER_00077,Pro,10,0,57,97,2,4,0
USER_00078,Pro,8,21,40,95,1,4,0
USER_00079,Pro,11,31,0,109,4,5,0
USER_00080,Enterprise,21,63,142,2577,6,26,0
USER_00081,Pro,7,19,48,122,2,7,0
USER_00082,Pro,9,33,61,94,0,4,0
USER_00083,Pro,12,19,57,112,2,0,1
USER_00084,Pro,8,25,45,0,3,1,0
USER_00085,Pro,8,23,61,88,0,5,0
USER_00086,Enterprise,25,57,149,2472,10,27,0
USER_00087,Pro,9,17,46,96,0,4,0
USER_00088,Enterprise,26,62,145,2500,10,26,1
USER_00089,Pro,11,20,47,100,1,2,0
USER_00090,Pro,4,26,67,107,3,3,0
USER_00091,Enterprise,24,67,155,2456,12,42,0
USER_00092,Enterprise,0,53,169,2640,10,30,0
USER_00093,Pro,9,24,58,88,1,7,0
USER_00094,Enterprise,20,54,147,2440,10,26,0
USER_00095,Pro,18,29,52,97,2,3,0
USER_00096,Pro,7,26,61,92,8,8,1
USER_00097,Pro,12,23,51,96,0,4,0
USER_00098,Pro,9,22,44,90,2,7,0
USER_00099,Pro,4,22,43,105,7,3,0
USER_00100,Pro,9,30,55,131,2,2,1
USER_00101,Pro,9,0,55,100,4,4,0
USER_00102,Pro,10,28,47,122,4,4,0
USER_00103,Pro,1,29,48,108,0,4,1
USER_00104,Enterprise,0,68,0,2465,8,35,0
USER_00105,Pro,10,30,47,99,0,3,1
USER_00106,Pro,8,23,41,78,0,12,0
USER_00107,Enterprise,22,0,137,2586,15,28,0
USER_00108,Pro,7,31,49,99,1,8,0
USER_00109,Pro,5,21,54,101,2,5,0
USER_00110,Pro,4,17,59,96,3,4,0
USER_00111,Pro,10,25,58,112,1,4,0
USER_00112,Enterprise,23,68,135,2467,16,27,0
USER_00113,Enterprise,22,62,164,2487,8,20,0
USER_00114,Pro,7,27,57,107,3,5,0
USER_00115,Enterprise,18,43,148,2569,13,33,0
USER_00116,Enterprise,22,70,143,2426,7,38,0
